labels,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage
0.0,-102.0,0.0,0.0,0.0,0.0,1.0
0.0,69.0,·1ϔōɷ,54.0,-151.0,20196.0,55.0
0.0,-107.0,0.0,0.0,,..,0.0
0.0,7.0,0.0,0.0,-547.0,0.0,0.0
0.0,N/A,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,,116.0,21560.0,..
0.0,-105.0,0.0,,0000,44.0,?
0.0,-110.0,0.0,0.0,0.0,0.0,0.0
0.0,549.0,12056.0,43.0,878.0,00..00,0.0
0.0,-104.0,0.0,0.0,N/A,21784.0,55.0
0.0,8.0,83.0,1.0,-263.0,23769.0,(̄ΗƔ
0.0,-104.0,0.0,0.0,0.0,0.0,0.0
0.0,-106.0,gQʳ,?,0.0,49.0,1.0
0.0,8.0,0.0,0.0,-547.0,0.0,9ǉɑ
0.0,238.0,25878.0,58.0,876.0,114.0,1.0
0.0,-107.0,0.0,0.0,526.0,23028.0,57.0
0.0,N/A,,56.0,877.0,0.0,0.0
0.0,210.0,25288.0,58.0,878.0,297.0,3.0
0.0,-105.0,17.0,1.0,0.0,40.0,1.0
0.0,286.0,22176.0,56.0,877.0,0.0,0.0
0.0,432.0,23184.0,56.0,879.0,0.0,0.0
0.0,-106.0,13.0,0.0,00,15.0,
0.0,376.0,21890.0,00..,,0.0,0.0
0.0,8.0,12.0,0.0,-322.0,0.0,0.0
0.0,-106.0,0.0,0.0,110.0,21728.0,56.0
0.0,..,0.0,1.0,-323.0,420.0,4.0
0.0,9.0,0.0,0.0,-546.0,0.0,0.0
0.0,9.0,156.0,2.0,-320.0,152.0,1.0
0.0,9.0,12138.0,?,705.0,21560.0,56.0
0.0,-106.0,0.0,0.0,0.0,0.0,?
0.0,-106.0,0.0,0.0,0.0,46.0,
0.0,ϡǲ,0.0,0.0,-547.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,20.0,0.0
0.0,7.0,0.0,0.0,-49.0,20520.0,54.0
0.0,-104.0,0.0,0.0,293.0,22064.0,57.0
0.0,-104.0,0.0,0.0,156.0,19656.0,56.0
0.0,445.0,556688,57.0,879.0,50.0,?
0.0,,0.0,0.0,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,67.0,1.0
0.0,9.0,0.0,0.0,-545.0,0.0,0.0
0.0,8.0,0.0,0.0,-515.0,15050.0,50.0
0.0,321.0,27873.0,58.0,88,178.0,3.0
0.0,9.0,0.0,0.0,--5588,17444.0,47.0
0.0,17.0,5348.0,28.0,-212.0,19085.0,55.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,77.0,2ǧ˧
0.0,8.0,0.0,0.0,-38.0,22800.0,57.0
0.0,340.0,21175.0,56.0,877.0,0.0,0.0
0.0,7.0,0.0,0.0,-412.0,20405.0,
0.0,AĖhŏƿϔ,0.0,0.0,0.0,4.0,1.0
0.0,388.0,23520.0,56.0,877.0,0.0,0.0
0.0,8.0,0.0,0.0,-545.0,97.0,1.0
0.0,-105.0,0.0,0.0,601.0,21505.0,55.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-104.0,0.0,0.0,0.0,23.0,1.0
0.0,-106.0,0.0,0.0,0.0,41.0,1.0
0.0,-106.0,0.0,0.0,416.0,,57.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,,0.0,0.0,"2̈́ȃ,ƚu",424.0,4.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-104.0,0.0,0.0,625.0,20691.0,57.0
0.0,8.0,0.0,0.0,-409.0,22287.0,56.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,124.0,2.0
0.0,257.0,25404.0,55,ȡ̀ȴ̈,0.0,0.0
0.0,-107.0,0.0,0.0,Ύζ,0.0,0.0
0.0,310.0,24585.0,,878.0,190.0,3.0
0.0,-107.0,0.0,0.0,0.0,11111111,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,35.0,1.0
0.0,-106.0,0.0,0.0,237.0,26448.0,57.0
0.0,14.0,18.0,1.0,-547.0,11111111,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,41.0,2.0
0.0,-105.0,0.0,0.0,394.0,23520.0,56.0
0.0,-107.0,0.0,0.0,543.0,21780.0,55.0
0.0,7.0,0.0,0.0,-547.0,0.0,0.0
0.0,7.0,0.0,0.0,-546.0,0.0,0.0
0.0,8.0,0.0,0.0,-297.0,22120.0,56.0
0.0,490.0,21945.0,ͧȅĈ,877.0,0.0,0.0
0.0,"""ȜɟɣĠ",22736.0,56.0,878.0,232.0,2.0
0.0,8.0,94.0,1.0,-320.0,1358.0,14.0
0.0,7.0,0.0,0.0,-205.0,23352.0,56.0
0.0,-104.0,8ǟŰ,1.0,265.0,21392.0,56.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,5.0,7938.0,27.0,695.0,19950.0,56.0
0.0,-108.0,18.0,1.0,481.0,22458.0,57.0
0.0,,0.0,0.0,-72.0,24282.0,57.0
0.0,-108.0,0.0,0.0,0.0,0.0,1.0
0.0,-104.0,0.0,0.0,0.0,0.0,0.0
0.0,-105.0,0.0,0.0,0.0,24.0,1.0
0.0,-108.0,40.0,,0.0,41.0,0.0
0.0,8.0,0.0,0.0,-546.0,0.0,0.0
0.0,7.0,3.0,0.0,-62.0,29298.0,58.0
0.0,-107.0,0.0,0.0,291.0,21945.0,57.0
0.0,9.0,82.0,1.0,-321.0,327.0,3.0
0.0,-107.0,0.0,0.0,454.0,19656.0,54.0
0.0,133.0,20898.0,54.0,-88.0,17628.0,52.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,615.0,1.0,2.0,878.0,0.0,0.0
0.0,-105.0,0.0,0.0,0000,294.0,2.0
0.0,8.0,0.0,0.0,-547.0,0.0,1.0
0.0,-105.0,0.0,0.0,564.0,19992.0,56.0
0.0,-107.0,0.0,0.0,0.0,0.0,?
0.0,-ĥ109.0,0.0,0.0,0.0,39.0,1.0
0.0,-107.0,0.0,0.0,0.345,21780.0,55.0
0.0,8.0,0.0,0.0,-546.0,0.0,0.0
0.0,-106.0,0.0,1.0,,15.0,1.0
0.0,--77,0.0,$Űʇ,0.0,4.0,0.0
0.0,-109.0,0.0,0.0,0.0,0.0,0.0
0.0,-104.0,0.0,0.0,0.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,-104.0,0.0,0.0,0.0,58.0,0.0
0.0,-108.0,0.0,?,192.0,25172.0,58.0
0.0,272.0,19604.0,52.0,877.0,0.0,IìÖ
0.0,,0.0,0.0,62.0,19488.0,56.0
0.0,-105.0,0.0,0.0,218.0,28080.0,60.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,264.0,3.0
0.0,-103.0,0.0,0.0,0.0,40.0,1.0
0.0,7.0,0.0,=ȫĈ,-546.0,0.0,0.0
0.0,8.0,57.0,0.0,-321.0,198.0,00
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,127.0,21395.0,55.0,833.0,22059.0,57.0
0.0,496.0,20919.0,56.0,878.0,0.0,0.0
0.0,9.0,0.0,0.0,-321.0,92.0,2.0
0.0,-105.0,0.0,0.0,62.0,19488.0,56.0
0.0,8.0,0.0,0.0,-321.0,46.0,1.0
0.0,-103.0,0.0,0.0,0.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,20.0,1.0
0.0,9.0,0.0,0.0,-72.0,24282.0,57.0
0.0,-106.0,0.0,0.0,155.0,20832.0,56.0
0.0,-107.0,0.0,0.0,407.0,21546.0,56.0
0.0,-107.0,0.0,f͸˱,0.0,94.0,2.0
0.0,-106.0,0͐ð,0.0,394.0,26940.0,58.0
0.0, ʂɖŹĶ,0.0,0.0,412.0,22515.0,56.0
0.0,8.0,0.0,0.0,-116.0,25650.0,57.0
0.0,-105.0,17.0,1.0,0.0,31.0,1.0
0.0,-105.0,0.0,0.0,0.0,36.0,1.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,0.601-,0.0,0.0,407.0,24248.0,56.0
0.0,9.0,0.0,0.0,-283.0,20682.0,55.0
0.0,9.0,0.0,0.0,-394.0,19170.0,55.0
0.0,-108.0,29.0,1.0,N/A,47.0,0.0
0.0,139.0,19332.0,54.0,..00,18414.0,M(Ȭʟ
0.0,8.0,0.0,0.0,-355.0,21945.0,55.0
0.0,-108.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,-547.0,MΣϣ,0.0
0.0,-108.0,0.0,0.0,412.0,22230.0,57.0
0.0,-108.0,12.0,0.0,N/A,0.0,00
0.0,-105.0,,0.0,0.0,47.0,1.0
0.0,-105.0,17.0,1.0,0.0,11111111,1.0
0.0,-μ͎,0.0,0.0,-533.0,8284.0,?
0.0,-105.0,0.0,0.0,0.0,47.0,2.0
0.0,-105.0,0.0,0.0,249.0,23016.0,56.0
0.0,-105.0,0.0,0.0,582.0,22008.0,56.0
0.0,N/A,0.0,0.0,-528.0,10000.0,39.0
0.0,-108.0,15.0,1.0,N/A,25636.0,58.0
0.0,-104.0,0.0,0.0,494.0,24302.0,58.0
0.0,9.0,0.0,0.0,-522.0,11546.0,?
0.0,-108.0,0.0,0.0,0.0,49.0,1.0
0.0,-106.0,..,Έn,0.0,0.0,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,'̓Ƿ
0.0,616.0,144.0,4.0,'ʳʟɊF,0.0,0.0
0.0,-107.0,0.0,..,250.0,25980.0,58.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,333.0,23780.0,,877.0,0.0,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,499.0,24738.0,57.0,877.0,0.0,1.0
0.0,-106.0,0.0,0.0,0.0,72.0,2.0
0.0,-107.0,0.0,1.0,130.0,21285.0,54.0
0.0,8.0,1212.0,11.0,-235.0,20384.0,56.0
0.0,-104.0,0.0,0.0,135.0,20790.0,55.0
0.0,9.0,0.0,0.0,-315.0,21660.0,56.0
0.0,8.0,0.0,0.0,-545.0,0.0,0.0
0.0,8.0,,0.0,-142.0,22770.0,55.0
0.0,411.0,23210.0,56.0,879.0,0.0,0.0
0.0,7.0,0.0,0.0,-546.0,0.0,0.0
0.0,65.0,17732.0,51.0,-155.0,20412.0,54.0
0.0,536.0,19926.0,54.0,879.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,0.0,0.0
0.0,329.0,22230.0,57.0,0.978,0.0,0.0
0.0,11.0,45.0,1.0,-322.0,68.0,1.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,-545.0,72.0,2.0
0.0,-107.0,0.0,0.0,523.0,22008.0,56.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,-105.0,0.0,0.0,0.0,38.0,1.0
0.0,7.0,0.0,0.0,-406.0,20240.0,56.0
0.0,398.0,2200..,56.0,876.0,0.0,0.0
0.0,256.0,26622.0,58.0,0.0,00..00,0.0
0.0,-104.0,0.0,0.0,0.0,0.0,1.0
0.0,-105.0,0.0,0.0,0.0,40.0,1.0
0.0,-105.0,0.0,0.0,0.0,0.0,0.0
0.0,..,0.0,0.0,566.0,25172.0,58.0
0.0,8.0,172.0,2.0,-322.0,110.0,2.0
0.0,-107.0,0.0,0.0,0.0,25.0,1.0
0.0,0.0,1.0,0.0,650.0,0.00281,52.0
0.0,-104.0,0.0,0.0,0.0,24.0,1.0
0.0,-107.0,0.0,0.0,67.0,18700.0,55.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-105.0,0.0,00..00,0.0,40.0,1.0
0.0,401.0,22904.0,56.0,878.0,0.0,0.0
0.0,-108.0,0.0,0.0,349.0,23313.0,57.0
0.0,54.0,17874.0,54.0,-166.0,19170.0,55.0
0.0,-108.0,0.0,0.0,0.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,24.0,1.0
0.0,-106.0,0.0,0.0,0.0,24.0,1.0
0.0,-108.0,15.0,0.0,168.0,21780.0,tņȯΆ
0.0,10.0,0.0,0.0,-179.0,22220.0,55.0
0.0,-105.0,0.0,0.0,0.0,0.0,0.0
0.0,BĶʥ,0.0,0.0,-547.0,0.0,0.0
0.0,8800,11.0,1.0,-24.0,31310.0,62.0
0.0,8.0,0.0,0.0,-533.0,8284.0,38.0
0.0,133.0,20898.0,54.0,-88.0,17628.0,..00
0.0,447.0,19656.0,55.0,876.0,0.0,0.0
0.0,8.0,0.0,0.0,-130.0,22971.0,57.0
0.0,333.0,21728.0,56.0,879.0,33.0,0.0
0.0,145.0,21784.0,56.0,849.0,15860.0,51.0
0.0,8.0,0.0,0.0,-450.0,21112.0,56.0
0.0,8.0,0.0,0.0,--5566..00,,1.0
0.0,8.0,0.0,0.0,55..,0.0,0.0
0.0,28.0,11782.0,43.0,-195.0,20515.0,55.0
0.0,7.0,0.0,0.0,-547.0,0.0,
0.0,9.0,0.0,0.0,-547.0,34.0,1.0
0.0,-105.0,17.0,1.0,0.0,31.0,1.0
0.0,579.0,13728.0,39.0,878.0,51.0,22..
0.0,-108.0,0.0,0.0,584.0,23490.0,58.0
0.0,8.0,0.0,0.0,-547.0,14.0,0.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,-328.0,22055.0,55.0
0.0,8.0,ÀΏ,0.0,,24090.0,55.0
0.0,-105.0,0.0,0.0,0.0,45.0,1.0
0.0,613.0,910.0,13.0,877.0,0.0,0.0
0.0,-109.0,0.0,0.0,,0.0,00
0.0,270.0,29036.0,60.0,878.0,oǽ¶ȝǟ,1.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,25.0,1.0
0.0,-104.0,0.0,0.0,0.0,15.0,0.0
0.0,-106.0,0.0,0.0,240.0,26718.0,60.0
0.0,8.0,0.0,0.0,-547.0,˗Ž,0.0
0.0,367.0,22165.0,55.0,879.0,144.0,2.0
0.0,-108.0,0.0,?,593.0,23028.0,57.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
