labels,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage
0.0,-102.0,0.0,0.0,0.0,11111111,1.0
0.0,69.0,19360.0,54.0,-151.0,20196.0,fǉŋͮ
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,-547.0,0.0,0.0
0.0,-105.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,116.0,21560.0,56.0
0.0,-105.0,0.0,?,0.0,44.0,1.0
0.0,-110.0,0.0,,0.0,0.0,0.0
0.0,549.0,12056.0,43.0,878.0,0.0,0.0
0.0,-104.0,0.0,0.0,464.0,21784.0,55.0
0.0,8.0,83.0,1.0,-263.0,23769.0,58.0
0.0,-104.0,0.0,0.0,0.0,0.0,0.0
0.0,Ɩ˓˔ʈɨ,0.0,0.0,0.0,49.0,1.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,N/A,25878.0,58.0,876.0,114.0,1.0
0.0,-107.0,11111111,0.0,526.0,23028.0,57.0
0.0,476.0,24Ţ248.0,56.0,877.0,0.0,0.0
0.0,210.0,25288.0,,878.0,297.0,3.0
0.0,-105.0,17.0,1.0,0.0,0.04,1.0
0.0,286þ.0,22176.0,556600,877.0,0.0,0.0
0.0,432.0,11111111,56É.0,879.0,0.0,0.0
0.0,-106.0,13.0,0.0,0.0,15.0,1.0
0.0,376.0,11111111,55.0,878.0,0.0,Ȱ
0.0,8.0,12.0,0.0,-322.0,0.0,0.0
0.0,-106.0,0.0,0.0,,21728.0,56.0
0.0,8.0,0.0,1.0,-323.0,420.0,4.0
0.0,9.0,0.0,0.0,0.645-,0.0,0.0
0.0,9.0,156.0,2.0,-320.0,152.0,1.0
0.0,9.0,12138.0,34.0,705.0,21560.0,56.0
0.0,-106.0,,0.0,0.0,0.0,0.0
0.0,-106.0,0.0,,0.0,46.0,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,20.0,0.0
0.0,7700,0.0,0.0,-49.0,11111111,54.0
0.0,-104.0,0.0,0.0,293.0,22064.0,57.0
0.0,-104.0,0.0,0.0,156.0,19656.0,56.0
0.0,445.0,25868.0,57.0,879.0,50.0,1.0
0.0,10.0,0.0,00,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,67.0,1.0
0.0,9.0,0.0,0.0,--5555..,0.0,0.0
0.0,8.0,0.0,0.0,-515.0,15050.0,50.0
0.0,,27873.0,58.0,877.0,178.0,K̥Ͷ
0.0,9.0,0.0,0.0,-518.0,17444.0,47.0
0.0,17.0,11111111,28.0,-212.0,19085.0,55.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,77.0,..
0.0,8.0,0.0,0.0,-38.0,22800.0,57.0
0.0,340.0,21175.0,56.0,877.0,0.0,0.0
0.0,7.0,0.0,0.0,|ρǽuȈ,20405.0,55..00
0.0,-107.0,0.0,0.0,0.0,4.0,1.0
0.0,388.0,23520.0,56.0,877.0,0.0,0.0
0.0,8.0,0.0,0.0,-545.0,97.0,1.0
0.0,-105.0,0.0,0.0,601.0,21505.0,55.0
0.0,-107.0,11111111,0.0,0.0,0.0,0.0
0.0,-104.0,0.0,0.0,0.0,23.0,1.0
0.0,-106.0,0.0,0.0,0.0,41.0,1.0
0.0,--116600,0.0,0.0,416.0,ƹǎμ̷,57.0
0.0,8.0,0.0,0.0,-547.0,0.0,..
0.0,9.0,0.0,0.0,-545.0,424.0,4.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-104.0,0.0,0.0,625.0,20691.0,57.0
0.0,N/A,0.0,˻Ī),-409.0,22287.0,56.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,124.0,2.0
0.0,257.0,0.40452,58.0,879.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,310.0,24585.0,55.0,878.0,,3.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-108.0,0.0,0.0,0.0,35.0,1.0
0.0,-106.0,ÿ,,237.0,26448.0,57.0
0.0,14.0,18.0,1.0,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
